upstream_project_id,upstream_project_name
P01,Cedar Service Standards
P02,Harbor Customer Onboarding
P03,Summit Supplier Portal
P04,Orion Order Integration
P05,Meadow Network Expansion
P06,Atlas Access Controls
P07,River Fulfilment Recovery
P08,Beacon Finance Platform
P09,Willow Knowledge Service
P10,Juniper Reporting Hub
P11,Birch Procurement Refresh
P12,Maple Invoice Controls
P13,Elm Customer Insights
P14,Pine Distribution Readiness
P15,Aspen Commercial Launch
P16,Laurel Closeout
P17,Olive Service Transition
P18,Acacia Operating Model
