cost_id,project_id,transaction_date,category,amount
P01-C01,P01,2026-07-06,Synthetic delivery cost,82500
P01-C02,P01,2026-07-13,Synthetic delivery cost,13750
P01-C03,P01,2026-07-20,Synthetic delivery cost,13750
P01-C04,P01,2026-07-27,Synthetic delivery cost,13750
P01-C05,P01,2026-08-03,Synthetic delivery cost,13750
P01-C06,P01,2026-08-10,Synthetic delivery cost,13750
P01-C07,P01,2026-08-17,Synthetic delivery cost,13750
P01-C08,P01,2026-08-24,Synthetic delivery cost,13750
P01-C09,P01,2026-08-31,Synthetic delivery cost,13750
P01-C10,P01,2026-09-07,Synthetic delivery cost,13750
P01-C11,P01,2026-09-14,Synthetic delivery cost,13750
P01-C12,P01,2026-09-21,Synthetic delivery cost,13750
P02-C01,P02,2026-07-06,Synthetic delivery cost,93150
P02-C02,P02,2026-07-13,Synthetic delivery cost,15525
P02-C03,P02,2026-07-20,Synthetic delivery cost,15525
P02-C04,P02,2026-07-27,Synthetic delivery cost,15525
P02-C05,P02,2026-08-03,Synthetic delivery cost,15525
P02-C06,P02,2026-08-10,Synthetic delivery cost,15525
P02-C07,P02,2026-08-17,Synthetic delivery cost,15525
P02-C08,P02,2026-08-24,Synthetic delivery cost,15525
P02-C09,P02,2026-08-31,Synthetic delivery cost,15525
P02-C10,P02,2026-09-07,Synthetic delivery cost,15525
P02-C11,P02,2026-09-14,Synthetic delivery cost,15525
P02-C12,P02,2026-09-21,Synthetic delivery cost,15525
P03-C01,P03,2026-07-06,Synthetic delivery cost,102375
P03-C02,P03,2026-07-13,Synthetic delivery cost,17063
P03-C03,P03,2026-07-20,Synthetic delivery cost,17062
P03-C04,P03,2026-07-27,Synthetic delivery cost,17062
P03-C05,P03,2026-08-03,Synthetic delivery cost,17063
P03-C06,P03,2026-08-10,Synthetic delivery cost,17063
P03-C07,P03,2026-08-17,Synthetic delivery cost,17062
P03-C08,P03,2026-08-24,Synthetic delivery cost,17062
P03-C09,P03,2026-08-31,Synthetic delivery cost,17063
P03-C10,P03,2026-09-07,Synthetic delivery cost,17063
P03-C11,P03,2026-09-14,Synthetic delivery cost,17062
P03-C12,P03,2026-09-21,Synthetic delivery cost,17062
P04-C01,P04,2026-07-06,Synthetic delivery cost,105000
P04-C02,P04,2026-07-13,Synthetic delivery cost,17500
P04-C03,P04,2026-07-20,Synthetic delivery cost,17500
P04-C04,P04,2026-07-27,Synthetic delivery cost,17500
P04-C05,P04,2026-08-03,Synthetic delivery cost,17500
P04-C06,P04,2026-08-10,Synthetic delivery cost,17500
P04-C07,P04,2026-08-17,Synthetic delivery cost,17500
P04-C08,P04,2026-08-24,Synthetic delivery cost,17500
P04-C09,P04,2026-08-31,Synthetic delivery cost,17500
P04-C10,P04,2026-09-07,Synthetic delivery cost,17500
P04-C11,P04,2026-09-14,Synthetic delivery cost,17500
P04-C12,P04,2026-09-21,Synthetic delivery cost,17500
P05-C01,P05,2026-07-06,Synthetic delivery cost,126562
P05-C02,P05,2026-07-13,Synthetic delivery cost,21094
P05-C03,P05,2026-07-20,Synthetic delivery cost,21094
P05-C04,P05,2026-07-27,Synthetic delivery cost,21094
P05-C05,P05,2026-08-03,Synthetic delivery cost,21094
P05-C06,P05,2026-08-10,Synthetic delivery cost,21093
P05-C07,P05,2026-08-17,Synthetic delivery cost,21094
P05-C08,P05,2026-08-24,Synthetic delivery cost,21094
P05-C09,P05,2026-08-31,Synthetic delivery cost,21093
P05-C10,P05,2026-09-07,Synthetic delivery cost,21094
P05-C11,P05,2026-09-14,Synthetic delivery cost,21094
P05-C12,P05,2026-09-21,Synthetic delivery cost,21094
P06-C01,P06,2026-07-06,Synthetic delivery cost,120000
P06-C02,P06,2026-07-13,Synthetic delivery cost,20000
P06-C03,P06,2026-07-20,Synthetic delivery cost,20000
P06-C04,P06,2026-07-27,Synthetic delivery cost,20000
P06-C05,P06,2026-08-03,Synthetic delivery cost,20000
P06-C06,P06,2026-08-10,Synthetic delivery cost,20000
P06-C07,P06,2026-08-17,Synthetic delivery cost,20000
P06-C08,P06,2026-08-24,Synthetic delivery cost,20000
P06-C09,P06,2026-08-31,Synthetic delivery cost,20000
P06-C10,P06,2026-09-07,Synthetic delivery cost,20000
P06-C11,P06,2026-09-14,Synthetic delivery cost,20000
P06-C12,P06,2026-09-21,Synthetic delivery cost,20000
P07-C01,P07,2026-07-06,Synthetic delivery cost,140250
P07-C02,P07,2026-07-13,Synthetic delivery cost,23375
P07-C03,P07,2026-07-20,Synthetic delivery cost,23375
P07-C04,P07,2026-07-27,Synthetic delivery cost,23375
P07-C05,P07,2026-08-03,Synthetic delivery cost,23375
P07-C06,P07,2026-08-10,Synthetic delivery cost,23375
P07-C07,P07,2026-08-17,Synthetic delivery cost,10625
P07-C08,P07,2026-08-24,Synthetic delivery cost,22312
P07-C09,P07,2026-08-31,Synthetic delivery cost,40688
P07-C10,P07,2026-09-07,Synthetic delivery cost,23625
P07-C11,P07,2026-09-14,Synthetic delivery cost,23625
P07-C12,P07,2026-09-21,Synthetic delivery cost,8325
P08-C01,P08,2026-07-06,Synthetic delivery cost,135000
P08-C02,P08,2026-07-13,Synthetic delivery cost,22500
P08-C03,P08,2026-07-20,Synthetic delivery cost,22500
P08-C04,P08,2026-07-27,Synthetic delivery cost,22500
P08-C05,P08,2026-08-03,Synthetic delivery cost,22500
P08-C06,P08,2026-08-10,Synthetic delivery cost,26212
P08-C07,P08,2026-08-17,Synthetic delivery cost,26888
P08-C08,P08,2026-08-24,Synthetic delivery cost,27562
P08-C09,P08,2026-08-31,Synthetic delivery cost,28238
P08-C10,P08,2026-09-07,Synthetic delivery cost,28912
P08-C11,P08,2026-09-14,Synthetic delivery cost,29588
P08-C12,P08,2026-09-21,Synthetic delivery cost,30262
P09-C01,P09,2026-07-06,Synthetic delivery cost,142500
P09-C02,P09,2026-07-13,Synthetic delivery cost,23750
P09-C03,P09,2026-07-20,Synthetic delivery cost,23750
P09-C04,P09,2026-07-27,Synthetic delivery cost,23750
P09-C05,P09,2026-08-03,Synthetic delivery cost,23750
P09-C06,P09,2026-08-10,Synthetic delivery cost,23750
P09-C07,P09,2026-08-17,Synthetic delivery cost,23750
P09-C08,P09,2026-08-24,Synthetic delivery cost,23750
P09-C09,P09,2026-08-31,Synthetic delivery cost,23750
P09-C10,P09,2026-09-07,Synthetic delivery cost,23750
P09-C11,P09,2026-09-14,Synthetic delivery cost,23750
P09-C12,P09,2026-09-21,Synthetic delivery cost,23750
P10-C01,P10,2026-07-06,Synthetic delivery cost,150000
P10-C02,P10,2026-07-13,Synthetic delivery cost,25000
P10-C03,P10,2026-07-20,Synthetic delivery cost,25000
