issue_id,project_id,reporting_date,title,owner_id,severity,status,opened_date,due_date,resolution_date,required_action,age_days,overdue,critical,escalation_status,owner
P01-I1,P01,2026-07-06,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P01-I2,P01,2026-07-06,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 01
P02-I1,P02,2026-07-06,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,14,0,0,None,Demo Coordinator 02
P02-I2,P02,2026-07-06,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 02
P03-I1,P03,2026-07-06,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence,14,0,0,None,Demo Coordinator 03
P03-I2,P03,2026-07-06,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 03
P04-I1,P04,2026-07-06,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P04-I2,P04,2026-07-06,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 04
P05-I1,P05,2026-07-06,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P05-I2,P05,2026-07-06,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 05
P06-I1,P06,2026-07-06,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P06-I2,P06,2026-07-06,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 06
P07-I1,P07,2026-07-06,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
P07-I2,P07,2026-07-06,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence,7,0,0,None,Demo Coordinator 07
