project_id,reporting_date,lifecycle,phase,forecast_finish,actual_finish,last_reporting_date,approved_budget,planned_cost,forecast_cost,actual_cost,budget_remaining,actual_vs_planned,actual_vs_planned_pct,forecast_variance,forecast_variance_pct,schedule_variance_days,percentage_complete,overall_rag,open_risks,critical_risks,risk_exposure,open_issues,critical_issues,overdue_actions,overdue_tasks,overdue_milestones,critical_milestones_overdue,milestones_due,dependency_exposure,schedule_rag,cost_rag,risk_rag,issues_rag,milestones_rag,dependencies_rag,actions_rag,reporting_rag
P01,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,275000,82500,275000,82500,192500,0,0.0,0,0.0,0,16.67,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,300000,90000,321000,93150,206850,3150,3.5,21000,7.0,7,8.33,Amber,3,0,12,1,0,0,1,0,0,0,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-07-06,Active,Planning,2026-10-26,,2026-07-06,325000,97500,357500,102375,222625,4875,5.0,32500,10.0,21,0.0,Red,3,1,28,1,0,0,2,0,0,0,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,350000,105000,350000,105000,245000,0,0.0,0,0.0,7,8.33,Red,3,0,12,0,0,0,1,0,0,0,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,375000,112500,468750,126562,248438,14062,12.5,93750,25.0,0,16.67,Red,3,0,12,0,0,0,0,0,0,0,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,400000,120000,400000,120000,280000,0,0.0,0,0.0,0,16.67,Red,3,1,28,0,0,0,0,0,0,0,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-07-06,Active,Planning,2026-10-26,,2026-07-06,425000,127500,510000,140250,284750,12750,10.0,85000,20.0,21,0.0,Red,3,1,28,0,0,0,2,0,0,0,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,450000,135000,450000,135000,315000,0,0.0,0,0.0,0,16.67,Amber,3,0,12,1,0,0,0,0,0,0,0,Green,Green,Green,Amber,Green,Green,Green,Green
P09,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,475000,142500,475000,142500,332500,0,0.0,0,0.0,0,16.67,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,500000,150000,500000,150000,350000,0,0.0,0,0.0,0,16.67,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,525000,157500,525000,157500,367500,0,0.0,0,0.0,7,8.33,Amber,3,0,23,0,0,0,1,0,0,0,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,550000,165000,550000,165000,385000,0,0.0,0,0.0,7,8.33,Red,3,0,12,1,1,0,1,0,0,0,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,575000,172500,575000,172500,402500,0,0.0,0,0.0,0,16.67,Amber,3,0,12,0,0,0,0,0,0,0,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,600000,180000,654000,188100,411900,8100,4.5,54000,9.0,7,8.33,Amber,3,0,12,0,0,0,1,0,0,0,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-07-06,Active,Planning,2026-10-12,,2026-07-06,625000,187500,625000,187500,437500,0,0.0,0,0.0,7,8.33,Amber,3,0,12,0,0,0,1,0,0,0,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-07-06,Active,Planning,2026-08-31,,2026-07-06,650000,195000,650000,195000,455000,0,0.0,0,0.0,0,33.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-07-06,Active,Planning,2026-09-14,,2026-07-06,675000,202500,675000,202500,472500,0,0.0,0,0.0,7,25.0,Amber,3,0,12,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-07-06,Active,Planning,2026-10-05,,2026-07-06,700000,210000,700000,210000,490000,0,0.0,0,0.0,0,16.67,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,275000,96250,275000,96250,178750,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,300000,105000,321000,108675,191325,3675,3.5,21000,7.0,7,16.67,Amber,3,0,12,1,0,0,1,0,0,0,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
