task_id,project_id,reporting_date,task_name,planned_start,due_date,actual_finish,owner_id
P01-T01,P01,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,2026-06-24,PM01
P01-T02,P01,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,2026-07-03,PM01
P01-T03,P01,2026-07-06,Delivery activity 03,2026-07-02,2026-07-12,,PM01
P01-T04,P01,2026-07-06,Delivery activity 04,2026-07-11,2026-07-21,,PM01
P01-T05,P01,2026-07-06,Delivery activity 05,2026-07-20,2026-07-30,,PM01
P01-T06,P01,2026-07-06,Delivery activity 06,2026-07-29,2026-08-08,,PM01
P01-T07,P01,2026-07-06,Delivery activity 07,2026-08-07,2026-08-17,,PM01
P01-T08,P01,2026-07-06,Delivery activity 08,2026-08-16,2026-08-26,,PM01
P01-T09,P01,2026-07-06,Delivery activity 09,2026-08-25,2026-09-04,,PM01
P01-T10,P01,2026-07-06,Delivery activity 10,2026-09-03,2026-09-13,,PM01
P01-T11,P01,2026-07-06,Delivery activity 11,2026-09-12,2026-09-22,,PM01
P01-T12,P01,2026-07-06,Delivery activity 12,2026-09-21,2026-10-01,,PM01
P02-T01,P02,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,2026-07-01,PM02
P02-T02,P02,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,,PM02
P02-T03,P02,2026-07-06,Delivery activity 03,2026-07-02,2026-07-12,,PM02
P02-T04,P02,2026-07-06,Delivery activity 04,2026-07-11,2026-07-21,,PM02
P02-T05,P02,2026-07-06,Delivery activity 05,2026-07-20,2026-07-30,,PM02
P02-T06,P02,2026-07-06,Delivery activity 06,2026-07-29,2026-08-08,,PM02
P02-T07,P02,2026-07-06,Delivery activity 07,2026-08-07,2026-08-17,,PM02
P02-T08,P02,2026-07-06,Delivery activity 08,2026-08-16,2026-08-26,,PM02
P02-T09,P02,2026-07-06,Delivery activity 09,2026-08-25,2026-09-04,,PM02
P02-T10,P02,2026-07-06,Delivery activity 10,2026-09-03,2026-09-13,,PM02
P02-T11,P02,2026-07-06,Delivery activity 11,2026-09-12,2026-09-22,,PM02
P02-T12,P02,2026-07-06,Delivery activity 12,2026-09-21,2026-10-01,,PM02
P03-T01,P03,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,,PM03
P03-T02,P03,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,,PM03
P03-T03,P03,2026-07-06,Delivery activity 03,2026-07-02,2026-07-12,,PM03
P03-T04,P03,2026-07-06,Delivery activity 04,2026-07-11,2026-07-21,,PM03
P03-T05,P03,2026-07-06,Delivery activity 05,2026-07-20,2026-07-30,,PM03
P03-T06,P03,2026-07-06,Delivery activity 06,2026-07-29,2026-08-08,,PM03
P03-T07,P03,2026-07-06,Delivery activity 07,2026-08-07,2026-08-17,,PM03
P03-T08,P03,2026-07-06,Delivery activity 08,2026-08-16,2026-08-26,,PM03
P03-T09,P03,2026-07-06,Delivery activity 09,2026-08-25,2026-09-04,,PM03
P03-T10,P03,2026-07-06,Delivery activity 10,2026-09-03,2026-09-13,,PM03
P03-T11,P03,2026-07-06,Delivery activity 11,2026-09-12,2026-09-22,,PM03
P03-T12,P03,2026-07-06,Delivery activity 12,2026-09-21,2026-10-01,,PM03
P04-T01,P04,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,2026-07-01,PM04
P04-T02,P04,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,,PM04
P04-T03,P04,2026-07-06,Delivery activity 03,2026-07-02,2026-07-12,,PM04
P04-T04,P04,2026-07-06,Delivery activity 04,2026-07-11,2026-07-21,,PM04
P04-T05,P04,2026-07-06,Delivery activity 05,2026-07-20,2026-07-30,,PM04
P04-T06,P04,2026-07-06,Delivery activity 06,2026-07-29,2026-08-08,,PM04
P04-T07,P04,2026-07-06,Delivery activity 07,2026-08-07,2026-08-17,,PM04
P04-T08,P04,2026-07-06,Delivery activity 08,2026-08-16,2026-08-26,,PM04
P04-T09,P04,2026-07-06,Delivery activity 09,2026-08-25,2026-09-04,,PM04
P04-T10,P04,2026-07-06,Delivery activity 10,2026-09-03,2026-09-13,,PM04
P04-T11,P04,2026-07-06,Delivery activity 11,2026-09-12,2026-09-22,,PM04
P04-T12,P04,2026-07-06,Delivery activity 12,2026-09-21,2026-10-01,,PM04
P05-T01,P05,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,2026-06-24,PM05
P05-T02,P05,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,2026-07-03,PM05
P05-T03,P05,2026-07-06,Delivery activity 03,2026-07-02,2026-07-12,,PM05
P05-T04,P05,2026-07-06,Delivery activity 04,2026-07-11,2026-07-21,,PM05
P05-T05,P05,2026-07-06,Delivery activity 05,2026-07-20,2026-07-30,,PM05
P05-T06,P05,2026-07-06,Delivery activity 06,2026-07-29,2026-08-08,,PM05
P05-T07,P05,2026-07-06,Delivery activity 07,2026-08-07,2026-08-17,,PM05
P05-T08,P05,2026-07-06,Delivery activity 08,2026-08-16,2026-08-26,,PM05
P05-T09,P05,2026-07-06,Delivery activity 09,2026-08-25,2026-09-04,,PM05
P05-T10,P05,2026-07-06,Delivery activity 10,2026-09-03,2026-09-13,,PM05
P05-T11,P05,2026-07-06,Delivery activity 11,2026-09-12,2026-09-22,,PM05
P05-T12,P05,2026-07-06,Delivery activity 12,2026-09-21,2026-10-01,,PM05
P06-T01,P06,2026-07-06,Delivery activity 01,2026-06-14,2026-06-24,2026-06-24,PM06
P06-T02,P06,2026-07-06,Delivery activity 02,2026-06-23,2026-07-03,2026-07-03,PM06
