action_id,project_id,reporting_date,title,owner_id,due_date,status,priority
P01-A1,P01,2026-07-06,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-07-06,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-07-06,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-07-13,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-07-13,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-07-13,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-07-20,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-07-20,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-07-20,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-07-27,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-07-27,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-07-27,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-08-03,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-08-03,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-08-03,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-08-10,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-08-10,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-08-10,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-08-17,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-08-17,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-08-17,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-08-24,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-08-24,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-08-24,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-08-31,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-08-31,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-08-31,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-09-07,Confirm recovery plan,PM01,2026-09-28,Open,High
P01-A2,P01,2026-09-07,Review forecast and funding,PM01,2026-09-28,Open,Normal
P01-A3,P01,2026-09-07,Close acceptance evidence,PM01,2026-09-28,Open,Normal
P01-A1,P01,2026-09-14,Confirm recovery plan,PM01,2026-09-28,Open,High
