allocation_id,project_id,resource_id,reporting_date,allocated_hours
P01-R01,P01,R01,2026-07-06,10
P01-R02,P01,R02,2026-07-06,10
P01-R01,P01,R01,2026-07-13,10
P01-R02,P01,R02,2026-07-13,10
P01-R01,P01,R01,2026-07-20,10
P01-R02,P01,R02,2026-07-20,10
P01-R01,P01,R01,2026-07-27,10
P01-R02,P01,R02,2026-07-27,10
P01-R01,P01,R01,2026-08-03,10
P01-R02,P01,R02,2026-08-03,10
P01-R01,P01,R01,2026-08-10,10
P01-R02,P01,R02,2026-08-10,10
P01-R01,P01,R01,2026-08-17,10
P01-R02,P01,R02,2026-08-17,10
P01-R01,P01,R01,2026-08-24,10
P01-R02,P01,R02,2026-08-24,10
P01-R01,P01,R01,2026-08-31,10
P01-R02,P01,R02,2026-08-31,10
P01-R01,P01,R01,2026-09-07,10
P01-R02,P01,R02,2026-09-07,10
P01-R01,P01,R01,2026-09-14,10
P01-R02,P01,R02,2026-09-14,10
P01-R01,P01,R01,2026-09-21,10
P01-R02,P01,R02,2026-09-21,10
P02-R03,P02,R03,2026-07-06,10
P02-R04,P02,R04,2026-07-06,10
P02-R03,P02,R03,2026-07-13,10
P02-R04,P02,R04,2026-07-13,10
P02-R03,P02,R03,2026-07-20,10
P02-R04,P02,R04,2026-07-20,10
P02-R03,P02,R03,2026-07-27,10
P02-R04,P02,R04,2026-07-27,10
P02-R03,P02,R03,2026-08-03,10
P02-R04,P02,R04,2026-08-03,10
P02-R03,P02,R03,2026-08-10,10
P02-R04,P02,R04,2026-08-10,10
P02-R03,P02,R03,2026-08-17,10
P02-R04,P02,R04,2026-08-17,10
P02-R03,P02,R03,2026-08-24,10
P02-R04,P02,R04,2026-08-24,10
P02-R03,P02,R03,2026-08-31,10
P02-R04,P02,R04,2026-08-31,10
P02-R03,P02,R03,2026-09-07,10
P02-R04,P02,R04,2026-09-07,10
P02-R03,P02,R03,2026-09-14,10
P02-R04,P02,R04,2026-09-14,10
P02-R03,P02,R03,2026-09-21,10
P02-R04,P02,R04,2026-09-21,10
P03-R05,P03,R05,2026-07-06,26
P03-R06,P03,R06,2026-07-06,26
P03-R05,P03,R05,2026-07-13,26
P03-R06,P03,R06,2026-07-13,26
P03-R05,P03,R05,2026-07-20,26
P03-R06,P03,R06,2026-07-20,26
P03-R05,P03,R05,2026-07-27,26
P03-R06,P03,R06,2026-07-27,26
P03-R05,P03,R05,2026-08-03,26
P03-R06,P03,R06,2026-08-03,26
P03-R05,P03,R05,2026-08-10,26
P03-R06,P03,R06,2026-08-10,26
P03-R05,P03,R05,2026-08-17,26
P03-R06,P03,R06,2026-08-17,26
P03-R05,P03,R05,2026-08-24,26
P03-R06,P03,R06,2026-08-24,26
P03-R05,P03,R05,2026-08-31,26
P03-R06,P03,R06,2026-08-31,26
P03-R05,P03,R05,2026-09-07,26
P03-R06,P03,R06,2026-09-07,26
