project_id,reporting_date,approved_budget,planned_cost,forecast_cost,currency
P01,2026-07-06,275000,82500,275000,EUR
P01,2026-07-13,275000,96250,275000,EUR
P01,2026-07-20,275000,110000,275000,EUR
P01,2026-07-27,275000,123750,275000,EUR
P01,2026-08-03,275000,137500,275000,EUR
P01,2026-08-10,275000,151250,275000,EUR
P01,2026-08-17,275000,165000,275000,EUR
P01,2026-08-24,275000,178750,275000,EUR
P01,2026-08-31,275000,192500,275000,EUR
P01,2026-09-07,275000,206250,275000,EUR
P01,2026-09-14,275000,220000,275000,EUR
P01,2026-09-21,275000,233750,275000,EUR
P02,2026-07-06,300000,90000,321000,EUR
P02,2026-07-13,300000,105000,321000,EUR
P02,2026-07-20,300000,120000,321000,EUR
P02,2026-07-27,300000,135000,321000,EUR
P02,2026-08-03,300000,150000,321000,EUR
P02,2026-08-10,300000,165000,321000,EUR
P02,2026-08-17,300000,180000,321000,EUR
P02,2026-08-24,300000,195000,321000,EUR
P02,2026-08-31,300000,210000,321000,EUR
P02,2026-09-07,300000,225000,321000,EUR
P02,2026-09-14,300000,240000,321000,EUR
P02,2026-09-21,300000,255000,321000,EUR
P03,2026-07-06,325000,97500,357500,EUR
P03,2026-07-13,325000,113750,357500,EUR
P03,2026-07-20,325000,130000,357500,EUR
P03,2026-07-27,325000,146250,357500,EUR
P03,2026-08-03,325000,162500,357500,EUR
P03,2026-08-10,325000,178750,357500,EUR
P03,2026-08-17,325000,195000,357500,EUR
P03,2026-08-24,325000,211250,357500,EUR
P03,2026-08-31,325000,227500,357500,EUR
P03,2026-09-07,325000,243750,357500,EUR
P03,2026-09-14,325000,260000,357500,EUR
P03,2026-09-21,325000,276250,357500,EUR
P04,2026-07-06,350000,105000,350000,EUR
P04,2026-07-13,350000,122500,350000,EUR
P04,2026-07-20,350000,140000,350000,EUR
P04,2026-07-27,350000,157500,350000,EUR
P04,2026-08-03,350000,175000,350000,EUR
P04,2026-08-10,350000,192500,350000,EUR
P04,2026-08-17,350000,210000,350000,EUR
P04,2026-08-24,350000,227500,350000,EUR
P04,2026-08-31,350000,245000,350000,EUR
P04,2026-09-07,350000,262500,350000,EUR
P04,2026-09-14,350000,280000,350000,EUR
P04,2026-09-21,350000,297500,350000,EUR
P05,2026-07-06,375000,112500,468750,EUR
P05,2026-07-13,375000,131250,468750,EUR
P05,2026-07-20,375000,150000,468750,EUR
P05,2026-07-27,375000,168750,468750,EUR
P05,2026-08-03,375000,187500,468750,EUR
P05,2026-08-10,375000,206250,468750,EUR
P05,2026-08-17,375000,225000,468750,EUR
P05,2026-08-24,375000,243750,468750,EUR
P05,2026-08-31,375000,262500,468750,EUR
P05,2026-09-07,375000,281250,468750,EUR
P05,2026-09-14,375000,300000,468750,EUR
P05,2026-09-21,375000,318750,468750,EUR
