dependency_id,project_id,upstream_project_id,upstream_milestone_id,downstream_task_id,reporting_date,owner_id,lag_days,criticality,required_action
DEP01,P04,P03,P03-M3,P04-T12,2026-07-06,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-07-06,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-07-06,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-07-06,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-07-06,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-07-06,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-07-06,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-07-13,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-07-13,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-07-13,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-07-13,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-07-13,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-07-13,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-07-13,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-07-20,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-07-20,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-07-20,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-07-20,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-07-20,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-07-20,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-07-20,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-07-27,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-07-27,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-07-27,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-07-27,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-07-27,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-07-27,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-07-27,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-08-03,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-08-03,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-08-03,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-08-03,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-08-03,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-08-03,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-08-03,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-08-10,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-08-10,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-08-10,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-08-10,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-08-10,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-08-10,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-08-10,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-08-17,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-08-17,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-08-17,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-08-17,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-08-17,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-08-17,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-08-17,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-08-24,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-08-24,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-08-24,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-08-24,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-08-24,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-08-24,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-08-24,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-08-31,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-08-31,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-08-31,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-08-31,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-08-31,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-08-31,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-08-31,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-09-07,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-09-07,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-09-07,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-09-07,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-09-07,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-09-07,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-09-07,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-09-14,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-09-14,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-09-14,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-09-14,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-09-14,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-09-14,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-09-14,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP01,P04,P03,P03-M3,P04-T12,2026-09-21,PM04,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP02,P15,P04,P04-M3,P15-T12,2026-09-21,PM06,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP03,P14,P08,P08-M3,P14-T12,2026-09-21,PM05,0,Critical,Agree supplying-project recovery date or downstream contingency
DEP04,P09,P01,P01-M2,P09-T12,2026-09-21,PM09,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP05,P13,P07,P07-M3,P13-T12,2026-09-21,PM04,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP06,P10,P11,P11-M3,P10-T12,2026-09-21,PM01,0,Normal,Agree supplying-project recovery date or downstream contingency
DEP07,P05,P02,P02-M2,P05-T12,2026-09-21,PM05,0,Normal,Agree supplying-project recovery date or downstream contingency
