issue_id,project_id,reporting_date,title,owner_id,severity,status,opened_date,due_date,resolution_date,required_action
P01-I1,P01,2026-07-06,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-07-06,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-07-13,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-07-13,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-07-20,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-07-20,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-07-27,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-07-27,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-08-03,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-08-03,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-08-10,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-08-10,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-08-17,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-08-17,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-08-24,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-08-24,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-08-31,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-08-31,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-09-07,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-09-07,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-09-14,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-09-14,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I1,P01,2026-09-21,Acceptance defect,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P01-I2,P01,2026-09-21,Review backlog,PM01,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-07-06,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-07-06,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-07-13,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-07-13,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-07-20,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-07-20,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-07-27,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-07-27,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-08-03,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-08-03,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-08-10,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-08-10,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-08-17,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-08-17,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-08-24,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-08-24,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-08-31,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-08-31,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-09-07,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-09-07,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P02-I1,P02,2026-09-14,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-09-14,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
