person_id,person_name,role
PM01,Demo Coordinator 01,Project Manager / Coordinator
PM02,Demo Coordinator 02,Project Manager / Coordinator
PM03,Demo Coordinator 03,Project Manager / Coordinator
PM04,Demo Coordinator 04,Project Manager / Coordinator
PM05,Demo Coordinator 05,Project Manager / Coordinator
PM06,Demo Coordinator 06,Project Manager / Coordinator
PM07,Demo Coordinator 07,Project Manager / Coordinator
PM08,Demo Coordinator 08,Project Manager / Coordinator
PM09,Demo Coordinator 09,Project Manager / Coordinator
SP01,Demo Sponsor 01,Sponsor
SP02,Demo Sponsor 02,Sponsor
SP03,Demo Sponsor 03,Sponsor
SP04,Demo Sponsor 04,Sponsor
SP05,Demo Sponsor 05,Sponsor
SP06,Demo Sponsor 06,Sponsor
SP07,Demo Sponsor 07,Sponsor
