risk_id,project_id,reporting_date,title,owner_id,probability,impact,status,opened_date,due_date,mitigation,mitigation_status
P01-RK1,P01,2026-07-06,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-07-06,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-07-06,Handover knowledge gap,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-07-13,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-07-13,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-07-13,Handover knowledge gap,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-07-20,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-07-20,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-07-20,Handover knowledge gap,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-07-27,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-07-27,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-07-27,Handover knowledge gap,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-08-03,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-08-03,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-08-03,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-08-10,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-08-10,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-08-10,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-08-17,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-08-17,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-08-17,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-08-24,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-08-24,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-08-24,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-08-31,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-08-31,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-08-31,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-09-07,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-09-07,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-09-07,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-09-14,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-09-14,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-09-14,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK1,P01,2026-09-21,Supplier / control readiness,PM01,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P01-RK2,P01,2026-09-21,Review capacity uncertainty,PM01,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P01-RK3,P01,2026-09-21,Handover knowledge gap,PM01,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-07-06,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-07-06,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-07-06,Handover knowledge gap,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-07-13,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-07-13,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-07-13,Handover knowledge gap,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
