project_id,reporting_date,lifecycle,phase,forecast_finish,actual_finish,last_reporting_date
P01,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P01,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P01,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P01,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P01,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P01,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P01,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P01,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P01,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
P01,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P01,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P01,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P02,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P02,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P02,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P02,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P02,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P02,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P02,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P02,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P02,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P02,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P02,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P02,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P03,2026-07-06,Active,Planning,2026-10-26,,2026-07-06
P03,2026-07-13,Active,Planning,2026-10-26,,2026-07-13
P03,2026-07-20,Active,Planning,2026-10-26,,2026-07-20
P03,2026-07-27,Active,Planning,2026-10-26,,2026-07-27
P03,2026-08-03,Active,Delivery,2026-10-26,,2026-08-03
P03,2026-08-10,Active,Delivery,2026-10-26,,2026-08-10
P03,2026-08-17,Active,Delivery,2026-10-26,,2026-08-17
P03,2026-08-24,Active,Delivery,2026-10-26,,2026-08-24
P03,2026-08-31,Active,Delivery,2026-10-26,,2026-08-31
P03,2026-09-07,Active,Delivery,2026-10-26,,2026-09-07
P03,2026-09-14,Active,Delivery,2026-10-26,,2026-09-14
P03,2026-09-21,Active,Delivery,2026-10-26,,2026-09-21
P04,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P04,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P04,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P04,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P04,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P04,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P04,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P04,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P04,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P04,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P04,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P04,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P05,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P05,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P05,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P05,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P05,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P05,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P05,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P05,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P05,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
P05,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P05,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P05,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P06,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P06,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P06,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P06,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P06,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P06,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P06,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P06,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P06,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
P06,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P06,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P06,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P07,2026-07-06,Active,Planning,2026-10-26,,2026-07-06
P07,2026-07-13,Active,Planning,2026-10-26,,2026-07-13
P07,2026-07-20,Active,Planning,2026-10-26,,2026-07-20
P07,2026-07-27,Active,Planning,2026-10-26,,2026-07-27
P07,2026-08-03,Active,Delivery,2026-10-26,,2026-08-03
P07,2026-08-10,Active,Delivery,2026-10-26,,2026-08-10
P07,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P07,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P07,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P07,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P07,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P07,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P08,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P08,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P08,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P08,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P08,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P08,2026-08-10,Active,Delivery,2026-10-08,,2026-08-10
P08,2026-08-17,Active,Delivery,2026-10-11,,2026-08-17
P08,2026-08-24,Active,Delivery,2026-10-14,,2026-08-24
P08,2026-08-31,Active,Delivery,2026-10-17,,2026-08-31
P08,2026-09-07,Active,Delivery,2026-10-20,,2026-09-07
P08,2026-09-14,Active,Delivery,2026-10-23,,2026-09-14
P08,2026-09-21,Active,Delivery,2026-10-26,,2026-09-21
P09,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P09,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P09,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P09,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P09,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P09,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P09,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P09,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P09,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
