one_table,one_column,many_table,many_column,active,direction
DimProject,project_id,FactAction,project_id,True,Single
DimPeriod,reporting_date,FactAction,reporting_date,True,Single
DimProject,project_id,FactAllocation,project_id,True,Single
DimPeriod,reporting_date,FactAllocation,reporting_date,True,Single
DimResource,resource_id,FactAllocation,resource_id,True,Single
DimProject,project_id,FactCost,project_id,True,Single
DimPeriod,reporting_date,FactCost,transaction_date,True,Single
DimProject,project_id,FactDependency,project_id,True,Single
DimPeriod,reporting_date,FactDependency,reporting_date,True,Single
DimUpstreamProject,upstream_project_id,FactDependency,upstream_project_id,True,Single
DimProject,project_id,FactIssue,project_id,True,Single
DimPeriod,reporting_date,FactIssue,reporting_date,True,Single
DimProject,project_id,FactMilestone,project_id,True,Single
DimPeriod,reporting_date,FactMilestone,reporting_date,True,Single
DimProject,project_id,FactProject,project_id,True,Single
DimPeriod,reporting_date,FactProject,reporting_date,True,Single
DimPeriod,reporting_date,FactResource,reporting_date,True,Single
DimResource,resource_id,FactResource,resource_id,True,Single
DimProject,project_id,FactRisk,project_id,True,Single
DimPeriod,reporting_date,FactRisk,reporting_date,True,Single
DimProject,project_id,FactTask,project_id,True,Single
DimPeriod,reporting_date,FactTask,reporting_date,True,Single
